# Per-step geometry/movement diagnostic. If dx/drot stay zero, the motion solver is not moving that part.
step	patch	coeff_source	load_source	force_N	moment_Nm	moved_m	rotated_rad	cofr_x	cofr_y	cofr_z	bbox_xmin	bbox_xmax	bbox_ymin	bbox_ymax	bbox_zmin	bbox_zmax
0	Part_1_5	Part_1_5	panel-aero-fallback-after-zero-openfoam	9.0208725	0.028407187	0.0018256469	0.0013942123	-0.30027513	-0.0096526327	-0.0054967238	-0.33029062	-0.27026826	-0.028686481	0.0093811993	-0.024561432	0.013567984
0	Part_1_4	Part_1_4	panel-aero-fallback-after-zero-openfoam	9.0208725	0.028407187	0.0018256469	0.0013942123	-0.30027513	0.028328828	-0.0055276327	-0.33029062	-0.27026826	0.0092641202	0.047393537	-0.024561481	0.013506199
0	Part_1_1	Part_1_1	panel-aero-fallback-after-zero-openfoam	5.4784408	2.1970976e-07	4.4572572e-06	7.1002345e-11	-0.26392214	0.0093535755	0.013478552	-0.31845404	-0.20939024	-0.0091464245	0.027853575	-0.0050214477	0.031978552
0	Part_1_2	Part_1_2	panel-aero-fallback-after-zero-openfoam	55.524615	1.094329e-16	0.0090996761	1.5734408e-17	-0.33904922	0.0093535523	0.013478552	-0.34054922	-0.33754922	-0.028646448	0.047353552	-0.024521448	0.051478552
0	Part_1_3	Part_1_3	panel-aero-fallback-after-zero-openfoam	9.0208725	0.028407187	0.0018256469	0.0013942123	-0.30027513	0.028359736	0.032453829	-0.33029062	-0.27026826	0.0093259042	0.047393584	0.01338912	0.051518537
0	Part_1_6	Part_1_6	panel-aero-fallback-after-zero-openfoam	9.0208725	0.028407187	0.0018256469	0.0013942123	-0.30027513	-0.0096217238	0.032484737	-0.33029062	-0.27026826	-0.028686432	0.0094429843	0.013450905	0.051518585
0	Part_1_1_2	Part_1_1_2	zero-forceCoeffs	nan	0	0	0	0.084063534	0.0093535523	0.013478552	-0.20938578	0.37751285	-0.39064645	0.40935355	-0.27997076	0.30692787
1	Part_1_5	Part_1_5	panel-aero-fallback-after-zero-openfoam	8.8790259	0.027963931	0.0036109335	0.0027575048	-0.22388595	-0.0096730867	-0.0055171355	-0.25393188	-0.19386565	-0.028765456	0.0094191869	-0.024640313	0.013605992
1	Part_1_4	Part_1_4	panel-aero-fallback-after-zero-openfoam	8.8790259	0.027963931	0.0036109335	0.0027575048	-0.22388595	0.02834924	-0.0055480866	-0.25393188	-0.19386565	0.0092261129	0.047472417	-0.024640456	0.013544187
1	Part_1_1	Part_1_1	panel-aero-fallback-after-zero-openfoam	5.4782283	2.1969987e-07	8.9142992e-06	1.4200094e-10	-0.18393105	0.0093535755	0.013478552	-0.23846295	-0.12939915	-0.0091464245	0.027853575	-0.0050214477	0.031978552
1	Part_1_2	Part_1_2	panel-aero-fallback-after-zero-openfoam	51.351	8.1344454e-17	0.017305127	2.6415646e-17	-0.27635435	0.0093535523	0.013478552	-0.27785435	-0.27485435	-0.028646448	0.047353552	-0.024521448	0.051478552
1	Part_1_3	Part_1_3	panel-aero-fallback-after-zero-openfoam	8.8790259	0.027963931	0.0036109335	0.0027575048	-0.22388595	0.02838019	0.03247424	-0.25393188	-0.19386565	0.0092879167	0.04747256	0.013351113	0.051597418
1	Part_1_6	Part_1_6	panel-aero-fallback-after-zero-openfoam	8.8790259	0.027963931	0.0036109335	0.0027575048	-0.22388595	-0.0096421355	0.032505191	-0.25393188	-0.19386565	-0.028765313	0.0094809917	0.013412918	0.051597561
1	Part_1_1_2	Part_1_1_2	zero-forceCoeffs	nan	0	0	0	0.084063534	0.0093535523	0.013478552	-0.20938578	0.37751285	-0.39064645	0.40935355	-0.27997076	0.30692787
