# Quasi-dynamic assembly motion log
# dt=0.0007 s, default_mass=0.05 kg, default_inertia=0.0001 kg m^2
# Rigid-body motion is driven by OpenFOAM forces.dat/log loads, with panel fallback only if OpenFOAM loads are unavailable.
# Optional non-rigid deformation is logged separately in assembly_deformation_log.txt.
step	patch	material	material_source	mass_kg	density_kg_m3	mate_type	freedom_source	Cd	Cs	Cl	CmRoll	CmPitch	CmYaw	Fx_N	Fy_N	Fz_N	Mx_Nm	My_Nm	Mz_Nm	dx_m	dy_m	dz_m	droll_rad	dpitch_rad	dyaw_rad	total_x_m	total_y_m	total_z_m
2	Part_1_1	Tungsten	bom	1.7916899	19600	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-5.4779484	1.5169379e-06	-7.3468766e-09	2.3087563e-12	-2.597015e-10	-2.2095661e-07	-1.0229932e-05	-1.1543385e-09	2.2701416e-10	9.0465382e-10	6.8000304e-09	3.4049689e-08	-0.14550071	0.0092987617	0.0019162999
2	Part_1_2	Foamcore	bom	0.0090718474	663	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-46.381649	5.9140228e-14	8.2957527e-15	3.1908951e-22	-1.0443662e-08	-5.3736882e-08	-0.019155042	9.3347762e-18	1.3094087e-18	6.0718953e-23	7.0385741e-08	3.6216322e-07	-0.18505747	0.0092987629	0.0019162997
2	Part_1_3	Foamcore	bom	0.030844281	663	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-8.6684296	0.48815495	0.48710269	5.2325785e-06	-0.019381746	0.019368596	-0.0041174267	2.5754832e-05	2.9250507e-05	-0.00039375255	-0.0018025839	0.0020182116	-0.15376967	0.0093482805	0.001969264
2	Part_1_6	Foamcore	bom	0.030844281	663	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-8.6686035	-0.48710617	0.48812887	4.8225937e-06	-0.019361199	-0.019386379	-0.0041168341	-2.7699869e-05	2.0325373e-05	-0.00017962086	-0.002398664	-0.0019140415	-0.15376908	0.0092473492	0.0019603879
2	Part_1_1_2	ABS	bom	20.198468	1052	COLLISION_TARGET	collision-convergence-stationary	nan	0	nan	0	0	0	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0
3	Part_1_5	Foamcore	bom	0.030844281	663	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-8.4259655	-0.46663636	-0.46424783	1.0659511e-06	0.018842077	-0.018848585	-0.0054336821	-3.5167271e-05	-2.677063e-05	0.00020568503	0.0031165618	-0.0025651316	-0.089202801	0.0092114343	0.0018459293
3	Part_1_4	Foamcore	bom	0.030844281	663	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-8.4252665	0.46602088	-0.46678777	5.5631796e-06	0.018843792	0.018848018	-0.0054341101	3.3771634e-05	-4.2135708e-05	0.00032921957	0.0021312893	0.002603992	-0.089203962	0.0093866588	0.0018206979
3	Part_1_1	Tungsten	bom	1.7916899	19600	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-5.4775635	1.6398029e-06	-1.9602828e-08	1.2741596e-12	-3.4670319e-10	-2.229823e-07	-1.3638475e-05	-3.0946514e-09	2.5623848e-10	2.6344956e-09	8.2422985e-09	8.6577299e-08	-0.075514353	0.0092987586	0.0019163002
3	Part_1_2	Foamcore	bom	0.0090718474	663	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-40.398568	-3.7117105e-06	7.2136398e-07	1.4085633e-22	-1.5879836e-08	-8.1708205e-08	-0.024250197	-1.8848017e-10	3.6630771e-11	6.7571242e-23	6.755591e-08	3.4760259e-07	-0.13930767	0.0092987627	0.0019162997
3	Part_1_3	Foamcore	bom	0.030844281	663	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-8.4253037	0.46628098	0.46572166	6.5853829e-06	-0.018856566	0.018838282	-0.0054346994	3.603814e-05	4.1672805e-05	-7.080111e-05	-0.0021325416	0.0025051199	-0.089204374	0.0093843187	0.0020109368
3	Part_1_6	Foamcore	bom	0.030844281	663	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-8.4260033	-0.46553508	0.46530641	8.4393378e-06	-0.018831435	-0.018858977	-0.0054336462	-3.4464042e-05	2.721866e-05	-0.00017826149	-0.0030914908	-0.0026097659	-0.089202728	0.0092128851	0.0019876066
3	Part_1_1_2	ABS	bom	20.198468	1052	COLLISION_TARGET	collision-convergence-stationary	nan	0	nan	0	0	0	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0
