# Per-step geometry/movement diagnostic. If dx/drot stay zero, the motion solver is not moving that part.
step	patch	coeff_source	load_source	force_N	moment_Nm	moved_m	rotated_rad	cofr_x	cofr_y	cofr_z	bbox_xmin	bbox_xmax	bbox_ymin	bbox_ymax	bbox_zmin	bbox_zmax
4	Part_1_3	Part_1_3	OpenFOAM-forces	4.4450002	0.15788361	0.02	0.17453293	-0.085244219	-0.03576704	0.12657366	-0.11836864	-0.050589286	-0.079293637	-0.016556048	0.10919162	0.13533548
4	Part_1_6	Part_1_6	OpenFOAM-forces	4.4512062	0.15779091	0.02	0.17453293	-0.085479292	-0.092032189	-0.025624619	-0.11864364	-0.050819395	-0.10074918	-0.074664819	-0.069103883	-0.0063186509
5	Part_1_5	Part_1_5	OpenFOAM-forces	4.6957383	0.15129477	0.02	0.17453293	-0.10086521	0.050043689	-0.09740253	-0.13395711	-0.066076695	0.033632401	0.095610699	-0.1072376	-0.079633654
5	Part_1_4	Part_1_4	OpenFOAM-forces	4.5952978	0.14974923	0.02	0.17453293	-0.10089577	0.13175505	0.059845022	-0.13389837	-0.066077047	0.11398557	0.14179804	0.043500875	0.10544965
5	Part_1_1	Part_1_1	OpenFOAM-forces	1.5031402	0.24482475	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
5	Part_1_2	Part_1_2	OpenFOAM-forces	26.814052	0.032762828	0.02	0.17453293	-0.18620532	0.014186907	0.01284812	-0.19126271	-0.18135277	-0.02376415	0.052218657	-0.023413731	0.05249707
5	Part_1_3	Part_1_3	OpenFOAM-forces	4.7616301	0.14797824	0.02	0.17453293	-0.10061848	-0.025773992	0.14222342	-0.133626	-0.065828713	-0.071394944	-0.0094892428	0.12441156	0.15218373
5	Part_1_6	Part_1_6	OpenFOAM-forces	4.84938	0.14962783	0.02	0.17453293	-0.10080085	-0.10778116	-0.015629399	-0.13385179	-0.066003843	-0.11767578	-0.089982591	-0.061220201	0.00073810276
6	Part_1_5	Part_1_5	OpenFOAM-forces	4.6747793	0.15431605	0.02	0.17453293	-0.11706107	0.036051203	-0.11066365	-0.15001654	-0.082185875	0.023203848	0.082510987	-0.12357082	-0.093217999
6	Part_1_4	Part_1_4	OpenFOAM-forces	4.6054493	0.1523409	0.02	0.17453293	-0.11738803	0.14461307	0.045690412	-0.15024327	-0.082487251	0.12738581	0.1575814	0.032840045	0.092135662
6	Part_1_1	Part_1_1	OpenFOAM-forces	1.829315	0.23831864	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
6	Part_1_2	Part_1_2	OpenFOAM-forces	26.965657	0.037284352	0.02	0.17453293	-0.20591055	0.014587063	0.0087271446	-0.21178052	-0.2003521	-0.023189743	0.052790265	-0.027137358	0.048675665
6	Part_1_3	Part_1_3	OpenFOAM-forces	4.5493992	0.15520815	0.02	0.17453293	-0.11686804	-0.011750784	0.15537739	-0.14973728	-0.081995658	-0.058249711	0.00099305341	0.13803109	0.16828293
